County Code,District Code,School Code,Test Year,Subgroup ID,Total CAASPP Enrollment,Total Tested At Entity Level,Total Tested at Subgroup Level,Grade,Test Id,CAASPP Reported Enrollment,Students Tested,Mean Scale Score,Percentage Standard Exceeded,Percentage Standard Met,Percentage Standard Met and Above,Percentage Standard Nearly Met,Percentage Standard Not Met,Students with Scores,AcademicYear,AggregateLevel,CountyName,DistrictName,SchoolName,Ratio,MatchedDistrictName,Current Expense Per ADA
1,10017,112607,2015,31,190,175,139,11,1,91,64,2537.4,8,28,36,28,36,64,2016-17,S,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,0.7695852534562212,Alameda Unified,10197.330058579582
1,10017,130401,2015,31,157,69,37,11,1,100,24,2421.9,0,0,0,9,91,22,2016-17,S,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,1.0,Alameda Unified,10197.330058579582
1,10017,130419,2015,31,218,88,64,11,1,126,35,2452.7,0,5,5,20,75,20,2016-17,S,Alameda,Alameda County Office of Education,Alameda County Community,0.8397565922920892,Alameda Unified,10197.330058579582
1,31609,131755,2015,31,28,24,24,11,1,3,0,,,,,,,0,2016-17,S,Alameda,California School for the Blind (State Special Schl),California School for the Blind,1.0,Rim of the World Unified,9606.683118714192
1,31617,131763,2015,31,227,214,45,11,1,45,12,2359.7,0,0,0,0,100,9,2016-17,S,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,0.9776119402985075,Fremont Unified,8483.331582251558
1,61119,106401,2015,31,86,86,28,11,1,38,10,,,,,,,10,2016-17,S,Alameda,Alameda Unified,Alameda Science and Technology Institute,0.2677595628415301,Alameda Unified,10197.330058579582
1,61119,119222,2015,31,323,308,100,11,1,29,13,2585.4,33,17,50,25,25,12,2016-17,S,Alameda,Alameda Unified,Nea Community Learning Center,0.33756805807622503,Alameda Unified,10197.330058579582
1,61119,130229,2015,31,798,754,195,11,1,361,99,2602.6,24,32,56,31,13,98,2016-17,S,Alameda,Alameda Unified,Alameda High,0.22415669205658323,Alameda Unified,10197.330058579582
1,61119,130609,2015,31,298,283,43,11,1,53,7,,,,,,,7,2016-17,S,Alameda,Alameda Unified,Alameda Community Learning Center,0.2729591836734694,Alameda Unified,10197.330058579582
1,61119,130625,2015,31,88,59,54,11,1,56,31,2412.8,0,0,0,10,90,30,2016-17,S,Alameda,Alameda Unified,Alternatives in Action,0.9597989949748744,Alameda Unified,10197.330058579582
1,61119,134304,2015,31,90,55,37,11,1,69,22,2457.7,5,0,5,21,74,19,2016-17,S,Alameda,Alameda Unified,Island High (Continuation),0.48066298342541436,Alameda Unified,10197.330058579582
1,61127,130294,2015,31,13,10,6,11,1,12,5,,,,,,,4,2016-17,S,Alameda,Albany City Unified,MacGregor High (Continuation),,Albany City Unified,10529.919610715726
1,61127,130450,2015,31,600,539,65,11,1,289,31,2574.0,10,33,43,40,17,30,2016-17,S,Alameda,Albany City Unified,Albany High,0.20101351351351351,Albany City Unified,10529.919610715726
1,61143,122697,2015,31,155,144,110,11,1,75,54,2563.2,11,36,47,30,23,53,2016-17,S,Alameda,Berkeley Unified,REALM Charter High,0.6943699731903485,Berkeley Unified,13400.678672341412
1,61143,131177,2015,31,1640,1478,452,11,1,807,209,2537.7,10,28,38,26,36,159,2016-17,S,Alameda,Berkeley Unified,Berkeley High,0.30411046885035325,Berkeley Unified,13400.678672341412
1,61143,134924,2015,31,58,37,30,11,1,42,20,2404.2,0,0,0,12,88,17,2016-17,S,Alameda,Berkeley Unified,Berkeley Technology Academy,0.6435643564356436,Berkeley Unified,13400.678672341412
1,61150,132225,2015,31,1481,1272,266,11,1,705,109,2591.3,23,32,55,29,16,107,2016-17,S,Alameda,Castro Valley Unified,Castro Valley High,0.23685092127303184,Castro Valley Unified,8540.437795711423
1,61150,135533,2015,31,101,84,20,11,1,76,16,2457.4,0,0,0,19,81,16,2016-17,S,Alameda,Castro Valley Unified,Redwood Continuation High,0.4065934065934066,Castro Valley Unified,8540.437795711423
1,61168,132746,2015,31,100,85,56,11,1,56,32,2576.8,13,41,53,31,16,32,2016-17,S,Alameda,Emery Unified,Emery Secondary,0.6751269035532995,Emery Unified,14478.875523974255
1,61176,130062,2015,31,958,936,205,11,1,432,93,2601.9,24,38,61,22,17,93,2016-17,S,Alameda,Fremont Unified,American High,0.1919147045757441,Fremont Unified,8483.331582251558
1,61176,130138,2015,31,171,146,91,11,1,126,66,2467.3,2,11,12,28,60,65,2016-17,S,Alameda,Fremont Unified,Robertson High (Continuation),0.5817490494296578,Fremont Unified,8483.331582251558
1,61176,130435,2015,31,46,28,7,11,1,26,0,,,,,,,0,2016-17,S,Alameda,Fremont Unified,Vista Alternative,0.3157894736842105,Fremont Unified,8483.331582251558
1,61176,130534,2015,31,171,156,16,11,1,36,3,,,,,,,3,2016-17,S,Alameda,Fremont Unified,Circle of Independent Learning,0.236318407960199,Fremont Unified,8483.331582251558
1,61176,134270,2015,31,1074,993,164,11,1,550,80,2597.0,23,34,56,29,15,80,2016-17,S,Alameda,Fremont Unified,Irvington High,0.14285714285714285,Fremont Unified,8483.331582251558
1,61176,134452,2015,31,669,660,276,11,1,321,123,2598.2,23,32,54,27,19,123,2016-17,S,Alameda,Fremont Unified,John F. Kennedy High,0.42398884239888424,Fremont Unified,8483.331582251558
1,61176,135244,2015,31,1058,1030,39,11,1,552,21,2678.4,52,33,86,10,5,21,2016-17,S,Alameda,Fremont Unified,Mission San Jose High,0.045142296368989206,Fremont Unified,8483.331582251558
1,61176,138693,2015,31,834,776,208,11,1,403,79,2552.6,11,30,42,32,27,79,2016-17,S,Alameda,Fremont Unified,Washington High,0.29014227642276424,Fremont Unified,8483.331582251558
1,61192,108670,2015,31,238,236,153,11,1,118,78,2634.6,31,44,74,21,5,78,2016-17,S,Alameda,Hayward Unified,Leadership Public Schools - Hayward,0.7218430034129693,Hayward Unified,10733.984900239695
1,61192,113902,2015,31,235,234,177,11,1,111,79,2626.5,32,46,77,10,13,79,2016-17,S,Alameda,Hayward Unified,Impact Academy of Arts & Technology,0.6644295302013423,Hayward Unified,10733.984900239695
1,61192,127944,2015,31,69,68,36,11,1,15,5,,,,,,,3,2016-17,S,Alameda,Hayward Unified,Silver Oak High Public Montessori Charter,0.5707317073170731,Hayward Unified,10733.984900239695
1,61192,131334,2015,31,15,6,4,11,1,3,0,,,,,,,0,2016-17,S,Alameda,Hayward Unified,Highland,0.7307692307692307,Hayward Unified,10733.984900239695
1,61192,133009,2015,31,84,59,29,11,1,72,24,2395.4,0,0,0,0,100,19,2016-17,S,Alameda,Hayward Unified,Brenkwitz High,0.6057142857142858,Hayward Unified,10733.984900239695
1,61192,133629,2015,31,793,700,473,11,1,380,244,2564.9,9,34,44,36,20,229,2016-17,S,Alameda,Hayward Unified,Hayward High,0.7045589105979869,Hayward Unified,10733.984900239695
1,61192,135319,2015,31,975,910,581,11,1,445,263,2593.2,15,43,59,27,15,256,2016-17,S,Alameda,Hayward Unified,Mt. Eden High,0.6484040019056694,Hayward Unified,10733.984900239695
1,61192,138339,2015,31,696,567,421,11,1,329,195,2533.4,10,22,32,30,37,185,2016-17,S,Alameda,Hayward Unified,Tennyson High,0.7690851735015772,Hayward Unified,10733.984900239695
1,61200,130393,2015,31,94,60,8,11,1,38,0,,,,,,,0,2016-17,S,Alameda,Livermore Valley Joint Unified,Vineyard Alternative,0.23651452282157676,Livermore Valley Joint Unified,9303.815626431859
1,61200,132670,2015,31,82,66,32,11,1,67,26,2485.5,0,4,4,35,62,26,2016-17,S,Alameda,Livermore Valley Joint Unified,Del Valle Continuation High,0.5664739884393064,Livermore Valley Joint Unified,9303.815626431859
1,61200,133397,2015,31,970,936,165,11,1,482,73,2594.3,21,38,59,26,15,73,2016-17,S,Alameda,Livermore Valley Joint Unified,Granada High,0.18608772707133364,Livermore Valley Joint Unified,9303.815626431859
1,61200,134536,2015,31,846,814,194,11,1,406,91,2565.2,8,30,38,40,23,88,2016-17,S,Alameda,Livermore Valley Joint Unified,Livermore High,0.23769190047644256,Livermore Valley Joint Unified,9303.815626431859
1,61234,130054,2015,31,872,851,407,11,1,460,218,2583.7,18,35,53,28,19,217,2016-17,S,Alameda,Newark Unified,Newark Memorial High,0.48173130972456435,Newark Unified,9707.485730269529
1,61234,130484,2015,31,29,19,13,11,1,22,10,,,,,,,9,2016-17,S,Alameda,Newark Unified,Crossroads High (Alternative),0.5,Newark Unified,9707.485730269529
1,61234,135426,2015,31,43,36,24,11,1,41,23,2453.8,0,0,0,33,67,21,2016-17,S,Alameda,Newark Unified,Bridgepoint High (Continuation),0.6637168141592921,Newark Unified,9707.485730269529
